strike,ce_oi,ce_coi_day,pe_oi,pe_coi_day,timestamp,spot_price
22000,75,0,53943,-1212,2026-08-31 10:27:05,24011.85
22050,0,0,2414,151,2026-08-31 10:27:05,24011.85
22100,1,0,23527,473,2026-08-31 10:27:05,24011.85
22150,0,0,2258,289,2026-08-31 10:27:05,24011.85
22200,0,0,9165,246,2026-08-31 10:27:05,24011.85
22250,0,0,2106,374,2026-08-31 10:27:05,24011.85
22300,0,0,6385,-155,2026-08-31 10:27:05,24011.85
22350,0,0,3260,-45,2026-08-31 10:27:05,24011.85
22400,0,0,6178,104,2026-08-31 10:27:05,24011.85
22450,0,0,3660,1406,2026-08-31 10:27:05,24011.85
22500,183,0,90162,-11574,2026-08-31 10:27:05,24011.85
22550,0,0,2047,-254,2026-08-31 10:27:05,24011.85
22600,0,0,7724,-1439,2026-08-31 10:27:05,24011.85
22650,0,0,3075,714,2026-08-31 10:27:05,24011.85
22700,0,0,9947,-6032,2026-08-31 10:27:05,24011.85
22750,0,0,2989,1197,2026-08-31 10:27:05,24011.85
22800,0,0,19018,6205,2026-08-31 10:27:05,24011.85
22850,0,0,2688,465,2026-08-31 10:27:05,24011.85
22900,0,0,15058,-3197,2026-08-31 10:27:05,24011.85
22950,0,0,4407,1973,2026-08-31 10:27:05,24011.85
23000,1669,-114,104569,-12312,2026-08-31 10:27:05,24011.85
23050,1,0,16319,4188,2026-08-31 10:27:05,24011.85
23100,7,1,33278,9025,2026-08-31 10:27:05,24011.85
23150,5,0,20322,1595,2026-08-31 10:27:05,24011.85
23200,84,-6,55143,6173,2026-08-31 10:27:05,24011.85
23250,4,0,13069,663,2026-08-31 10:27:05,24011.85
23300,227,134,45636,-8062,2026-08-31 10:27:05,24011.85
23350,1,0,26428,-4329,2026-08-31 10:27:05,24011.85
23400,612,7,60885,7535,2026-08-31 10:27:05,24011.85
23450,52,-6,25023,4523,2026-08-31 10:27:05,24011.85
23500,2200,120,117104,5640,2026-08-31 10:27:05,24011.85
23550,275,27,18970,-1419,2026-08-31 10:27:05,24011.85
23600,896,396,78413,9049,2026-08-31 10:27:05,24011.85
23650,418,122,43446,8977,2026-08-31 10:27:05,24011.85
23700,3430,757,112390,8204,2026-08-31 10:27:05,24011.85
23750,1542,1031,66166,26686,2026-08-31 10:27:05,24011.85
23800,11479,8160,155886,41638,2026-08-31 10:27:05,24011.85
23850,5437,4329,85920,34656,2026-08-31 10:27:05,24011.85
23900,29708,24745,162042,58484,2026-08-31 10:27:05,24011.85
23950,30575,28656,118796,69477,2026-08-31 10:27:05,24011.85
24000,237142,215865,321862,163985,2026-08-31 10:27:05,24011.85
24050,280258,270380,181916,120603,2026-08-31 10:27:05,24011.85
24100,370795,296070,158847,6289,2026-08-31 10:27:05,24011.85
24150,198830,128889,68824,-24586,2026-08-31 10:27:05,24011.85
24200,296470,156624,105687,-17067,2026-08-31 10:27:05,24011.85
24250,149069,58602,33210,-6971,2026-08-31 10:27:05,24011.85
24300,257842,56632,47655,-7873,2026-08-31 10:27:05,24011.85
24350,171843,47800,18349,-2593,2026-08-31 10:27:05,24011.85
24400,215109,53854,23362,-3107,2026-08-31 10:27:05,24011.85
24450,98799,12091,6560,-599,2026-08-31 10:27:05,24011.85
24500,239011,41141,26635,58,2026-08-31 10:27:05,24011.85
24550,100258,20673,2077,-32,2026-08-31 10:27:05,24011.85
24600,144960,18611,6218,-532,2026-08-31 10:27:05,24011.85
24650,66523,16747,1442,-115,2026-08-31 10:27:05,24011.85
24700,133031,16123,3649,-77,2026-08-31 10:27:05,24011.85
24750,59293,-10173,1066,17,2026-08-31 10:27:05,24011.85
24800,131378,10513,1850,-66,2026-08-31 10:27:05,24011.85
24850,45118,7300,544,-6,2026-08-31 10:27:05,24011.85
24900,88650,5661,713,-14,2026-08-31 10:27:05,24011.85
24950,31006,1309,340,3,2026-08-31 10:27:05,24011.85
25000,174149,12491,5229,-29,2026-08-31 10:27:05,24011.85
25050,41168,16275,127,0,2026-08-31 10:27:05,24011.85
25100,87456,8988,686,-1,2026-08-31 10:27:05,24011.85
25150,19760,1858,73,0,2026-08-31 10:27:05,24011.85
25200,82267,5461,590,-2,2026-08-31 10:27:05,24011.85
25250,18629,4105,22,0,2026-08-31 10:27:05,24011.85
